
Tower of Hanoi

How many discs shall I solve for? 

Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 6 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 7 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 6 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 8 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 6 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 7 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 6 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 9 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 6 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 7 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 6 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 8 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 6 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 7 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 6 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 10 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 6 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 7 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 6 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 8 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 5 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 6 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 5 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 7 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 4 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 5 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 4 from A to C
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 3 from B to C
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 6 from B to A
Move disc 1 from C to A
Move disc 2 from C to B
Move disc 1 from A to B
Move disc 3 from C to A
Move disc 1 from B to C
Move disc 2 from B to A
Move disc 1 from C to A
Move disc 4 from C to B
Move disc 1 from A to B
Move disc 2 from A to C
Move disc 1 from B to C
Move disc 3 from A to B
Move disc 1 from C to A
